rank,model,dir_accuracy_%,mae,mape_%,cone_hit_%,n_forecasts,score
1,manhattan,62.2,28.6,12.32,69.6,45,0.0937
2,kendall,62.2,33.07,13.75,63.9,45,0.1647
3,euclidean,57.8,28.11,12.47,70.4,45,0.1827
4,mse,57.8,28.11,12.47,70.4,45,0.1827
5,mahalanobis,55.6,31.92,13.26,66.5,45,0.2694
6,cosine,53.3,33.59,13.7,61.6,45,0.3516
7,xgboost,66.7,59.75,21.8,48.0,45,0.4004
8,pearson,48.9,31.82,13.22,66.4,45,0.4026
9,spearman,48.9,31.65,13.17,65.1,45,0.407
10,lightgbm,48.9,63.66,24.24,26.7,45,0.9305
11,randomforest,46.7,70.83,25.05,37.9,45,0.9487
