method,score,day,date,low,median,high,bias
spearman,0.41664127504980664,1,2026-06-15,939.82426647399,986.831328353552,1030.498029112336,BULLISH
spearman,0.41664127504980664,5,2026-06-19,875.6407994999072,1011.4478357872129,1143.8322208776174,BULLISH
spearman,0.41664127504980664,10,2026-06-26,812.2822078774366,1067.5289824539732,1234.1664891393411,BULLISH
spearman,0.41664127504980664,20,2026-07-10,702.1942924961303,1003.2632258183612,1343.8742288483102,BULLISH
spearman,0.41664127504980664,30,2026-07-24,634.6322038777457,959.7161403362165,1408.250389341533,BULLISH
pearson,0.42210499550922853,1,2026-06-15,934.3165304345232,969.3224894538696,1036.6893887819997,BULLISH
pearson,0.42210499550922853,5,2026-06-19,901.6565967523698,996.8736468109917,1075.789978503475,BULLISH
pearson,0.42210499550922853,10,2026-06-26,808.653946688976,987.4755139871282,1169.7519424532086,BULLISH
pearson,0.42210499550922853,20,2026-07-10,660.4832016286837,1040.6788892782417,1326.354399325083,BULLISH
pearson,0.42210499550922853,30,2026-07-24,728.4735230504643,929.3539355887763,1596.6106260056247,BULLISH
cosine,0.3648296306360039,1,2026-06-15,912.186110182068,970.3326259990854,1014.9075864121638,CHOPPY
cosine,0.3648296306360039,5,2026-06-19,891.2572102811858,1001.4824753495816,1062.033172881957,CHOPPY
cosine,0.3648296306360039,10,2026-06-26,795.6457166130651,1120.7728595498552,1242.5617364585366,CHOPPY
cosine,0.3648296306360039,20,2026-07-10,724.7340632653776,1058.155808133509,1218.5328327309098,CHOPPY
cosine,0.3648296306360039,30,2026-07-24,728.4735230504643,909.7763104796734,1172.6839110411809,CHOPPY
euclidean,0.05635660510820374,1,2026-06-15,946.7854982535464,970.3326259990854,1027.2073434502056,BEARISH
euclidean,0.05635660510820374,5,2026-06-19,911.5999138708486,978.9131677482942,1087.3730815385823,BEARISH
euclidean,0.05635660510820374,10,2026-06-26,831.3405794328561,956.4141398133227,1177.436269341542,BEARISH
euclidean,0.05635660510820374,20,2026-07-10,785.3028682122102,957.1581472361124,1146.332866909542,BEARISH
euclidean,0.05635660510820374,30,2026-07-24,763.5888780065039,970.0616891422017,1152.436934783428,BEARISH
kendall,0.28742138364779873,1,2026-06-15,981.6099853515625,992.0526713555414,1012.5837567110389,BEARISH
kendall,0.28742138364779873,5,2026-06-19,983.1875625044977,998.8312568470036,1144.572635797298,BEARISH
kendall,0.28742138364779873,10,2026-06-26,905.794722894049,939.8393454615822,976.2313938052927,BEARISH
kendall,0.28742138364779873,20,2026-07-10,735.0923725939168,829.2911523321925,1100.224290997788,BEARISH
kendall,0.28742138364779873,30,2026-07-24,616.618623986588,772.7568379646304,1161.7958977525218,BEARISH
manhattan,0.006130350863100195,1,2026-06-15,950.8871667329464,976.245983208411,1002.5521966004903,BEARISH
manhattan,0.006130350863100195,5,2026-06-19,837.9038293943038,993.8876840588824,1087.0300293668222,BEARISH
manhattan,0.006130350863100195,10,2026-06-26,706.7056258261198,959.550120457631,1230.8644950811172,BEARISH
manhattan,0.006130350863100195,20,2026-07-10,619.5076272262988,914.2209273116262,1299.3566651085316,BEARISH
manhattan,0.006130350863100195,30,2026-07-24,572.0753970103069,893.2057122895017,1564.1595340634872,BEARISH
