model,day,date,low,median,high,bias
lightgbm,1,2026-06-01,948.3139257849655,982.8683778380697,1012.1930900701786,BULLISH
lightgbm,2,2026-06-02,928.3696164236443,973.1031108764791,1010.4849699059469,BULLISH
lightgbm,3,2026-06-03,908.4253070623231,963.3378439148885,1008.7768497417151,BULLISH
lightgbm,4,2026-06-04,888.4809977010019,953.5725769532978,1007.0687295774833,BULLISH
lightgbm,5,2026-06-05,868.5366883396807,943.8073099917073,1005.3606094132515,BULLISH
lightgbm,6,2026-06-08,889.1489924938282,972.8262896662577,1030.8843913852802,BULLISH
lightgbm,7,2026-06-09,909.7612966479758,1001.845269340808,1056.408173357309,BULLISH
lightgbm,8,2026-06-10,930.3736008021234,1030.8642490153584,1081.9319553293376,BULLISH
lightgbm,9,2026-06-11,950.9859049562709,1059.883228689909,1107.4557373013663,BULLISH
lightgbm,10,2026-06-12,971.5982091104185,1088.9022083644593,1132.979519273395,BULLISH
lightgbm,11,2026-06-15,975.7479133484619,1102.0070420363454,1141.9524217245912,BULLISH
lightgbm,12,2026-06-16,979.8976175865052,1115.1118757082315,1150.9253241757874,BULLISH
lightgbm,13,2026-06-17,984.0473218245487,1128.2167093801174,1159.8982266269836,BULLISH
lightgbm,14,2026-06-18,988.1970260625922,1141.3215430520036,1168.8711290781798,BULLISH
lightgbm,15,2026-06-19,992.3467303006356,1154.4263767238897,1177.8440315293758,BULLISH
lightgbm,16,2026-06-22,996.496434538679,1167.5312103957758,1186.816933980572,BULLISH
lightgbm,17,2026-06-23,1000.6461387767224,1180.636044067662,1195.7898364317682,BULLISH
lightgbm,18,2026-06-24,1004.7958430147659,1193.7408777395478,1204.7627388829644,BULLISH
lightgbm,19,2026-06-25,1008.9455472528092,1206.845711411434,1213.7356413341606,BULLISH
lightgbm,20,2026-06-26,1013.0952514908527,1219.95054508332,1222.7085437853568,BULLISH
lightgbm,21,2026-06-29,1012.5305655046335,1214.1523726364094,1228.3952173037735,BULLISH
lightgbm,22,2026-06-30,1011.9658795184142,1208.354200189499,1234.0818908221902,BULLISH
lightgbm,23,2026-07-01,1011.4011935321951,1202.5560277425882,1239.7685643406069,BULLISH
lightgbm,24,2026-07-02,1010.8365075459758,1196.7578552956775,1245.4552378590236,BULLISH
lightgbm,25,2026-07-03,1010.2718215597566,1190.959682848767,1251.1419113774402,BULLISH
lightgbm,26,2026-07-06,1009.7071355735375,1185.1615104018563,1256.828584895857,BULLISH
lightgbm,27,2026-07-07,1009.1424495873182,1179.3633379549456,1262.5152584142736,BULLISH
lightgbm,28,2026-07-08,1008.577763601099,1173.5651655080349,1268.2019319326903,BULLISH
lightgbm,29,2026-07-09,1008.0130776148798,1167.7669930611244,1273.888605451107,BULLISH
lightgbm,30,2026-07-10,1007.4483916286606,1161.9688206142137,1279.5752789695237,BULLISH
lightgbm,31,2026-07-13,985.1399734344091,1154.121357287138,1266.3170361617451,BULLISH
lightgbm,32,2026-07-14,962.8315552401576,1146.2738939600624,1253.0587933539666,BULLISH
lightgbm,33,2026-07-15,940.5231370459062,1138.4264306329867,1239.800550546188,BULLISH
lightgbm,34,2026-07-16,918.2147188516547,1130.5789673059112,1226.5423077384096,BULLISH
lightgbm,35,2026-07-17,895.9063006574031,1122.7315039788355,1213.2840649306313,BULLISH
lightgbm,36,2026-07-20,873.5978824631517,1114.8840406517597,1200.0258221228528,BULLISH
lightgbm,37,2026-07-21,851.2894642689002,1107.0365773246842,1186.7675793150743,BULLISH
lightgbm,38,2026-07-22,828.9810460746487,1099.1891139976085,1173.5093365072958,BULLISH
lightgbm,39,2026-07-23,806.6726278803972,1091.341650670533,1160.2510936995172,BULLISH
lightgbm,40,2026-07-24,784.3642096861457,1083.4941873434573,1146.9928508917387,BULLISH
