Rank,n_estimators,max_depth,learning_rate,MAE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,100,3,0.03,107.9,27.61,66.7,85.6,33,0.0
2,100,4,0.03,121.45,30.86,66.7,82.5,33,0.1176
3,100,5,0.03,124.6,31.65,66.7,77.5,33,0.1624
4,200,3,0.03,129.2,32.68,66.7,79.8,33,0.1871
5,100,3,0.07,132.12,33.39,66.7,78.8,33,0.214
6,200,4,0.03,136.21,34.38,66.7,75.6,33,0.2585
7,100,4,0.07,137.97,34.72,66.7,71.2,33,0.2864
8,200,5,0.03,138.43,34.94,66.7,67.7,33,0.307
9,400,3,0.03,142.23,35.75,66.7,71.8,33,0.3176
10,200,3,0.07,142.31,35.76,66.7,66.9,33,0.3367
11,100,5,0.07,139.88,35.37,66.7,63.5,33,0.337
12,100,3,0.15,145.75,36.65,66.7,66.7,33,0.3664
13,400,4,0.03,146.92,36.92,66.7,64.2,33,0.3848
14,200,4,0.07,147.83,37.04,66.7,57.5,33,0.4143
15,400,5,0.03,148.42,37.29,66.7,57.6,33,0.4221
16,100,4,0.15,147.09,36.79,66.7,52.9,33,0.4238
17,400,3,0.07,149.21,37.42,66.7,53.0,33,0.4439
18,200,5,0.07,149.29,37.6,66.7,50.3,33,0.4601
19,200,3,0.15,153.19,38.44,66.7,53.9,33,0.4737
20,100,5,0.15,151.25,38.07,66.7,47.7,33,0.4854
21,400,4,0.07,154.46,38.62,66.7,46.7,33,0.5071
22,200,4,0.15,155.19,38.69,66.7,42.7,33,0.5247
23,400,5,0.07,155.29,39.04,66.7,43.4,33,0.5334
24,200,5,0.15,156.68,39.34,66.7,41.3,33,0.5512
25,400,3,0.15,159.44,39.91,66.7,42.2,33,0.5663
26,400,4,0.15,159.4,39.66,66.7,34.6,33,0.5873
27,400,5,0.15,159.16,39.9,66.7,33.4,33,0.5997
