Rank,n_estimators,max_depth,learning_rate,num_leaves,MAE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,200,6,0.03,31,106.69,29.72,60.0,0.0,5,0.0
2,200,4,0.03,31,108.02,30.08,60.0,0.0,5,0.0267
3,200,4,0.07,31,109.95,30.88,60.0,0.0,5,0.0859
4,400,4,0.07,31,110.49,31.01,60.0,0.0,5,0.0956
5,600,4,0.07,31,111.32,31.27,60.0,0.0,5,0.1148
6,200,8,0.03,31,112.89,31.59,60.0,0.0,5,0.1385
7,400,6,0.03,31,113.34,31.74,60.0,0.0,5,0.1496
8,600,6,0.03,31,114.74,32.18,60.0,0.0,5,0.1822
9,400,8,0.03,31,115.25,32.32,60.0,0.0,5,0.1926
10,600,8,0.03,31,115.83,32.5,60.0,0.0,5,0.2059
11,200,6,0.07,31,116.08,32.54,60.0,0.0,5,0.2089
12,400,4,0.03,31,116.41,32.58,60.0,0.0,5,0.2119
13,200,8,0.07,31,117.98,32.88,60.0,0.0,5,0.2341
14,600,4,0.03,31,118.81,33.37,60.0,0.0,5,0.2704
15,400,8,0.07,31,119.97,33.41,60.0,0.0,5,0.2733
16,400,6,0.07,31,119.78,33.6,60.0,0.0,5,0.2874
17,600,8,0.07,31,120.94,33.7,60.0,0.0,5,0.2948
18,600,6,0.07,31,120.22,33.7,60.0,0.0,5,0.2948
19,200,8,0.15,31,121.47,34.19,60.0,0.0,5,0.3311
20,200,4,0.15,31,121.81,34.47,60.0,0.0,5,0.3519
21,400,8,0.15,31,122.49,34.52,60.0,0.0,5,0.3556
22,600,8,0.15,31,123.26,34.73,60.0,0.0,5,0.3711
23,200,6,0.15,31,122.92,34.81,60.0,0.0,5,0.377
24,400,4,0.15,31,123.16,34.92,60.0,0.0,5,0.3852
25,400,6,0.15,31,123.33,34.95,60.0,0.0,5,0.3874
26,600,6,0.15,31,123.56,35.02,60.0,0.0,5,0.3926
27,600,4,0.15,31,123.82,35.12,60.0,0.0,5,0.4
