Rank,n_estimators,max_depth,min_samples_leaf,MAE,MAPE_%,Dir_Acc_%,Cone_Hit_%,N_Forecasts,Score
1,100,15,5,164.3,40.13,66.7,29.3,33,0.0057
2,100,None,5,164.78,40.33,66.7,29.5,33,0.0377
3,100,None,3,166.49,40.6,66.7,25.8,33,0.1944
4,100,None,10,166.37,41.09,66.7,27.6,33,0.2354
5,100,15,10,166.04,40.99,66.7,26.6,33,0.2451
6,300,15,5,166.69,40.7,66.7,24.5,33,0.2504
7,300,None,5,167.69,40.95,66.7,25.2,33,0.2776
8,100,15,3,168.47,41.11,66.7,24.2,33,0.3363
9,300,15,3,169.27,41.33,66.7,22.5,33,0.4264
10,300,None,3,171.18,41.73,66.7,23.3,33,0.479
11,300,None,10,170.96,42.06,66.7,24.7,33,0.5013
12,300,15,10,171.82,42.25,66.7,24.7,33,0.5371
